file,relative_path,size_bytes,mtime_iso,md5,sha256
Furey et al. 2018 Reproductive ecology of Chaerephon plicatus.pdf,Furey et al. 2018 Reproductive ecology of Chaerephon plicatus.pdf,1831463,2018-08-15T14:46:14,c383ee6cd10b0dd975eaba1a709bbc87,0923b78d9cc147a94fd306b182561ac3331dc3233b66325eb424f8d25c2ff51e
Gippoliti & Amori 2007 The problem of subspecies and biased taxonomy in conservation lists.pdf,Gippoliti & Amori 2007 The problem of subspecies and biased taxonomy in conservation lists.pdf,123032,2007-07-27T05:43:32,04dd4b3ede10f8ce35be9f92e605f9dc,e099dedfb93487608ad0060bb773a5e7932fd5057914a55bbebe85f8655c0232
Goodman et al 2008 Specific status of populations in Mascarene Is. referred to Mormopterus acetabulosus.pdf,Goodman et al 2008 Specific status of populations in Mascarene Is. referred to Mormopterus acetabulosus.pdf,589338,2009-02-20T01:32:50,667b2ea63295d64edb903ff75434c08e,f4040dc5ba52859abcfd22f31f512bbf2d7de0efcf82db5169f0303390ab9b4b
"Goodman et al 2011 Morphological, bioacoustical and genetic variation in Miniopterus from Madagascar.pdf","Goodman et al 2011 Morphological, bioacoustical and genetic variation in Miniopterus from Madagascar.pdf",3858078,2011-05-19T08:10:50,8a14128a4f563db70ad7d67eb6de4a87,ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d
Goodman et al 2012 Phylogeny of Emballonurini and a new species from Madasgascar.pdf,Goodman et al 2012 Phylogeny of Emballonurini and a new species from Madasgascar.pdf,728692,2012-12-18T05:16:06,4099b204a9cc62c1bd8c857e375f8e72,e0af56e486b93284ccba6fd52935cbfadef534a8a6a1d1505ada846bc9b3d531
Hill & Zubaid 1989 Hipposideros dyacorum in Peninsular Malaysia.pdf,Hill & Zubaid 1989 Hipposideros dyacorum in Peninsular Malaysia.pdf,244737,2011-03-24T11:45:10,494049a5dde05ceed4cc2e0ac0c0d1d5,72f6e0151108c8e4f2062788e95a0ab2d018943fd57164cc3530401bcede45b8
JZSES-2007.pdf,JZSES-2007.pdf,602073,2007-08-13T07:30:32,23b080dff816e0b4bd98d922e1bd185c,a302aa59710146f49ff6e7c2c8da8259f54881c22b4d34995c2e52f585598254
"Ketol et al 2009 Checklist of mammals from Gunung Silam, Sabah,.pdf","Ketol et al 2009 Checklist of mammals from Gunung Silam, Sabah,.pdf",30564,2011-08-18T08:29:58,fbae605da03eaa7ec4e8cd059fd81464,2849f6f493b764933d699564b716a2223d12d643b664a39fb5d9cf26c80eddd1
Khatiwara & Srivastava 2014 Red_Panda_and_other_small carnivores in East Sikkim.pdf,Khatiwara & Srivastava 2014 Red_Panda_and_other_small carnivores in East Sikkim.pdf,1047144,2020-12-14T15:26:00,56032b2e46a259d9950b9963bd7090b1,93051e0ec4f70a5b732b749d966bfc6037e84e82c69e22f8ee7c4a16e2c9e10e
Khatiwara & Srivastave Red_Panda_Ailurus_fulgens_east Sikkim India.pdf,Khatiwara & Srivastave Red_Panda_Ailurus_fulgens_east Sikkim India.pdf,1047144,2020-11-29T12:29:30,56032b2e46a259d9950b9963bd7090b1,93051e0ec4f70a5b732b749d966bfc6037e84e82c69e22f8ee7c4a16e2c9e10e
Kock et al 2000 Rhinolophus maendeleo from Tanzania.pdf,Kock et al 2000 Rhinolophus maendeleo from Tanzania.pdf,2847751,2007-03-28T10:49:12,4306800b4e4aeac028391cb63a39a0bb,030f2b5f62ff6c7fa4d83eea6630d231979979526362a7ea34572dba01a78082
Kruskop & Tsytsulina 2001 New Myotis annamiticus sp. nov. from Vietnam.pdf,Kruskop & Tsytsulina 2001 New Myotis annamiticus sp. nov. from Vietnam.pdf,255080,2006-05-04T17:16:04,b346eb64e29d73ee5454be12daa7895e,220626e793e51f6666d710d703601fdb903198f027e53e93667d06f1bfc8c493
Kuo et al 2009 Three new species of Murina from Taiwan.pdf,Kuo et al 2009 Three new species of Murina from Taiwan.pdf,3897871,2011-08-18T08:09:34,db348b3056612921f467d1db039f40ab,6d53d5b33f4ef34aff18a3afca1af4962778d237af360ee6d4d6ec5b4e57deb5
"Kutol et al 2009 Checklist of mammals from Gunung Silam, Malaysia.pdf","Kutol et al 2009 Checklist of mammals from Gunung Silam, Malaysia.pdf",30564,2011-08-18T08:29:58,fbae605da03eaa7ec4e8cd059fd81464,2849f6f493b764933d699564b716a2223d12d643b664a39fb5d9cf26c80eddd1
Lehmkuhl Noer et al 2012 African Molossid bats select sugarcane fields as foraging habitat.pdf,Lehmkuhl Noer et al 2012 African Molossid bats select sugarcane fields as foraging habitat.pdf,1359624,2012-07-18T08:17:14,080f902fea1fc9820ebf220b8b36edcf,828440e99d939100f98c29f89622f25fc9f447c2bab34a1646ec287450eaca50
Li et al 2004 Evolution of genome organization of squirrels (Sciuridae).pdf,Li et al 2004 Evolution of genome organization of squirrels (Sciuridae).pdf,826945,2013-03-01T00:39:02,653f7f7a120388b6e5ae471da9474d7b,5485243d018b50faf3ea60d08b8928b007f4aa61bbb967918675ab70690ff96d
Li et al 2004 Evolution of genomes organizatios of squirrels revealed by cross-species chromosome painting.pdf,Li et al 2004 Evolution of genomes organizatios of squirrels revealed by cross-species chromosome painting.pdf,826945,2013-02-27T06:07:54,653f7f7a120388b6e5ae471da9474d7b,5485243d018b50faf3ea60d08b8928b007f4aa61bbb967918675ab70690ff96d
Maryanto & Yani 2003 A new species of Rousettus from Central Sulawesi.pdf,Maryanto & Yani 2003 A new species of Rousettus from Central Sulawesi.pdf,1122904,2011-10-03T07:34:14,23d82c53e6a8bbc5204c1ca107dac607,c045e4c8cd77c0b9c7b31cd30401f1ef18e72a749e8c176eaeaa5d0aac381e64
Meia 1990 Determination de l'age chez l'hermine et la belette.pdf,Meia 1990 Determination de l'age chez l'hermine et la belette.pdf,598072,2011-03-25T11:49:58,e460f02caff6f4a6520f54e6e8e4d16d,f5a8699e8c81e7cc03c3d83ef11fcd6c925bd88e38b561bee9ed3c440bce9b7c
Mishra et al High altitude wildlife in Arunchal Pradesh.pdf,Mishra et al High altitude wildlife in Arunchal Pradesh.pdf,1450515,2020-12-14T15:21:58,ff336eb1415bbef68cf539ecc2c59558,47ea863748c531b79653a67f40dc09ab49a4bdac215c37a001bda03420f513dc
"Montiel et al 2006 Bat assemblages in a naturally fragmented ecosystem in the Yucatan, Mexico.pdf","Montiel et al 2006 Bat assemblages in a naturally fragmented ecosystem in the Yucatan, Mexico.pdf",163007,2010-03-26T01:43:52,c06a3e7028f4d4acf70470b88fe171ed,b45cb1440043aa7e75d8d407232bc4f7def3932af61a375088d7a552dfd5d074
"Montiel et al 2006 Bats in naturally fragmented ecosystem in Yucatan, Mexico.pdf","Montiel et al 2006 Bats in naturally fragmented ecosystem in Yucatan, Mexico.pdf",163007,2006-12-01T12:00:10,c06a3e7028f4d4acf70470b88fe171ed,b45cb1440043aa7e75d8d407232bc4f7def3932af61a375088d7a552dfd5d074
Noer et al 2012 Molossid bats in Africa select sugarcane fields as foraging habitat.pdf,Noer et al 2012 Molossid bats in Africa select sugarcane fields as foraging habitat.pdf,1359624,2012-07-16T05:44:36,080f902fea1fc9820ebf220b8b36edcf,828440e99d939100f98c29f89622f25fc9f447c2bab34a1646ec287450eaca50
Pearch and Soisook 2015 Mainstreaming Karst Biodiversity (Final Report).pdf,Pearch and Soisook 2015 Mainstreaming Karst Biodiversity (Final Report).pdf,6397361,2015-08-12T13:10:30,d53645bd25a0bb8660e91253d164996a,638581309883baca676a9f143423fdab7374f9e03e7ea35a1041325fe5da78c8
Pearch and Soisook 2015. Mainstreaming Karst Biodiversity (Final Report) Bats Myanmar.pdf,Pearch and Soisook 2015. Mainstreaming Karst Biodiversity (Final Report) Bats Myanmar.pdf,6397361,2020-07-06T14:25:40,d53645bd25a0bb8660e91253d164996a,638581309883baca676a9f143423fdab7374f9e03e7ea35a1041325fe5da78c8
"Ruedi et al 2012 Two new species of tube-nosed bats from Meghalaya, India.pdf","Ruedi et al 2012 Two new species of tube-nosed bats from Meghalaya, India.pdf",4589465,2012-04-03T07:59:34,e74cf1a361445561589c3c8a92005136,153ac9b71c3287fbe3f0ceb5d58ca785080aac2315a661bec3a6449d62feaccd
Soisook abd Bates 2022_Rhinolophus chutamasae nom. nov.pdf,Soisook abd Bates 2022_Rhinolophus chutamasae nom. nov.pdf,69400,2022-04-28T11:50:52,d41e1859fa73a53abb405250416e0bce,dc27e40269b350c4d453a79145545efa6503efbe803e64e1b6e0c36bf404d419
Soisook and Bates 2022_Rhinolophus chutamasae nom. nov.pdf,Soisook and Bates 2022_Rhinolophus chutamasae nom. nov.pdf,69400,2022-04-21T11:39:12,d41e1859fa73a53abb405250416e0bce,dc27e40269b350c4d453a79145545efa6503efbe803e64e1b6e0c36bf404d419
"Soisook et al 2017 A new species of Murina from sub-Himalayan forest, Myanmar.pdf","Soisook et al 2017 A new species of Murina from sub-Himalayan forest, Myanmar.pdf",4423075,2017-10-16T10:49:32,16fba00a8d78172eb0a78082868c6fcc,7ba6f7188f451bd264802eb89617baaa513d3520879ffdc180dcf00243e606c1
Soisook et al 2017 Murina hkakaboraziensis sp. nov.pdf,Soisook et al 2017 Murina hkakaboraziensis sp. nov.pdf,4423075,2017-10-10T20:57:02,16fba00a8d78172eb0a78082868c6fcc,7ba6f7188f451bd264802eb89617baaa513d3520879ffdc180dcf00243e606c1
